True,False
-0.09805253,0.6466142
-0.09830746,0.6414095
-0.09817175,0.64131516
-0.0981046,0.64370084
-0.096054025,0.6535562
-0.09733976,0.6920428
-0.0924856,0.7550627
-0.08738965,0.97907615
-0.07876475,1.1118683
-0.04557564,1.2235972
-0.053326342,1.0744305
-0.06618658,1.5007832
-0.054158732,1.596065
-0.0055322605,1.3917224
-0.002759416,1.0594409
-8.122468e-05,1.3091453
-1.5076553e-05,1.1759313
-0.0008930095,1.1133697
-2.6515298e-05,0.7128687
-0.010906415,0.8966156
-0.00017991987,1.4167627
-5.4787296e-08,0.64571345
-7.9644457e-07,0.73533976
-2.6781115e-07,0.63753533
-6.337798e-07,0.3687111
-3.678404e-08,0.5289293
0.0,0.39928162
0.0,0.3295949
0.0,0.21899037
0.0,0.6344801
0.0,0.63632
0.0,0.20029086
-2.2135924e-07,0.61554414
0.0,0.32642797
0.0,0.2998391
0.0,0.07855675
0.0,0.092113696
-3.5207128e-07,0.69686013
0.0,0.22250155
0.0,0.027733061
0.0,0.5088804
0.0,0.12277653
0.0,0.03153034
0.0,0.27581307
0.0,0.0389241
0.0,0.03740507
0.0,0.03692618
0.0,0.06646051
0.0,0.030778326
0.0,0.13351525
0.0,0.014943515
0.0,0.4261704
0.0,0.011065545
-2.0382468e-07,0.1082899
0.0,0.15118153
0.0,0.0691293
0.0,0.06865516
0.0,0.057432733
0.0,0.077200525
0.0,0.04283448
0.0,0.08626739
0.0,0.047369216
0.0,0.18896435
0.0,0.05973267
0.0,0.008023051
0.0,0.02293085
0.0,1.0360017
0.0,1.031403
-5.419531e-05,0.23878938
0.0,1.7183601
0.0,0.053484064
-3.3875247e-07,0.31668663
0.0,0.40038574
0.0,1.0917693
-9.417301e-07,1.6314269
0.0,0.12571943
0.0,2.2287142
0.0,3.2502434
0.0,3.253346
0.0,0.23668385
0.0,0.055241745
0.0,0.16886185
-3.2770464e-07,2.358816
0.0,0.027453007
0.0,0.34152532
-1.9217521e-07,0.57333505
0.0,1.9206684
0.0,0.31835654
0.0,0.031609096
0.0,0.03140814
-3.2056132e-06,0.28395444
0.0,0.12109498
0.0,0.019348875
0.0,0.7923606
0.0,0.021755436
-0.0012157777,2.8137882
-0.0011199462,0.29176405
0.0,0.008013878
0.0,0.12103448
0.0,0.09466868
0.0,0.094050705
0.0,0.13366978
0.0,1.155578
0.0,0.08780104
0.0,0.6949433
0.0,0.042696636
0.0,0.053127624
0.0,0.5497984
0.0,2.2410173
0.0,0.0841321
